In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 96, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 65, EFPA: -5.19, SIGMA: 0.30, APO : 1765.42
RUN #: 97, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 24, EFPA: -5.23, SIGMA: 1.38, APO : 2760.68
RUN #: 98, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 70, EFPA: -5.17, SIGMA: -1.43, APO : 1768.05
RUN #: 99, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 143, EFPA: -5.21, SIGMA: 0.53, APO : 2185.79
RUN #: 100, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 193, EFPA: -5.21, SIGMA: -0.16, APO : 2557.82
RUN #: 101, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 137, EFPA: -5.16, SIGMA: 2.16, APO : 1924.68
RUN #: 102, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 25, EFPA: -5.13, SIGMA: -1.01, APO : 4246.69
RUN #: 103, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 166, EFPA: -5.19, SIGMA: 0.87, APO : 2017.24
RUN #: 104, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 174, EFPA: -5.21, SIGMA: -1.02, APO : 1659.74
RUN #: 105, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 179, EFPA: -5.18, SIGMA: -0.28, APO : 1706.34
RUN #: 106, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 94, EFPA: -5.15, SIGMA: -0.01, APO : 1737.55
RUN #: 107, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 96, EFPA: -5.21, SIGMA: -0.33, APO : 2918.74
RUN #: 108, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 35, EFPA: -5.21, SIGMA: -0.97, APO : 1991.75
RUN #: 109, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 161, EFPA: -5.20, SIGMA: 1.28, APO : 2295.12
RUN #: 110, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 5, EFPA: -5.20, SIGMA: -0.62, APO : 1819.47
RUN #: 111, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 184, EFPA: -5.28, SIGMA: 0.38, APO : 3336.45
RUN #: 112, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 33, EFPA: -5.17, SIGMA: 1.79, APO : 2171.36
RUN #: 113, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 49, EFPA: -5.18, SIGMA: -0.83, APO : 1834.10
RUN #: 114, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 30, EFPA: -5.18, SIGMA: -0.68, APO : 1889.71
RUN #: 115, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 101, EFPA: -5.26, SIGMA: -0.98, APO : 1401.38
RUN #: 116, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 117, EFPA: -5.24, SIGMA: 1.26, APO : 2095.89
RUN #: 117, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 15, EFPA: -5.24, SIGMA: -0.00, APO : 1839.89
RUN #: 118, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 94, EFPA: -5.18, SIGMA: -0.10, APO : 1805.74
RUN #: 119, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 178, EFPA: -5.23, SIGMA: 0.36, APO : 2679.60
RUN #: 120, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 57, EFPA: -5.17, SIGMA: -0.41, APO : 2089.01
RUN #: 121, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 69, EFPA: -5.21, SIGMA: 2.10, APO : 2326.12
RUN #: 122, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 150, EFPA: -5.23, SIGMA: -1.32, APO : 2036.48
