In [6]: run section-3-7-mars-smallsat-performance-analysis-prd.py
RUN #: 142, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 904, EFPA: -9.23, SIGMA: 0.37, APO : 2098.80
RUN #: 143, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 87, EFPA: -9.32, SIGMA: 0.80, APO : 1654.89
RUN #: 144, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 185, EFPA: -9.18, SIGMA: 0.93, APO : 1767.22
RUN #: 145, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 326, EFPA: -9.31, SIGMA: 1.24, APO : 1997.13
RUN #: 146, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 703, EFPA: -9.13, SIGMA: -0.90, APO : 2093.81
RUN #: 147, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 425, EFPA: -9.22, SIGMA: -1.25, APO : 2135.38
RUN #: 148, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 968, EFPA: -9.12, SIGMA: 0.38, APO : 2027.35
RUN #: 149, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 805, EFPA: -9.27, SIGMA: -0.24, APO : 1615.74
RUN #: 150, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 899, EFPA: -9.35, SIGMA: -1.61, APO : 1982.03
RUN #: 151, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 253, EFPA: -9.26, SIGMA: -0.99, APO : 2226.39
RUN #: 152, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 717, EFPA: -9.22, SIGMA: 0.62, APO : 2018.39
RUN #: 153, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 230, EFPA: -9.24, SIGMA: 0.43, APO : 2173.97
RUN #: 154, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 713, EFPA: -9.23, SIGMA: 1.66, APO : 2187.23
RUN #: 155, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 463, EFPA: -9.12, SIGMA: -0.22, APO : 2192.90
RUN #: 156, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 565, EFPA: -9.26, SIGMA: -0.11, APO : 2135.01
RUN #: 157, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 89, EFPA: -9.22, SIGMA: 0.59, APO : 2191.08
RUN #: 158, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 879, EFPA: -9.26, SIGMA: -0.76, APO : 2558.86
RUN #: 159, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 315, EFPA: -9.34, SIGMA: 0.20, APO : 1865.49
RUN #: 160, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 219, EFPA: -9.24, SIGMA: 0.85, APO : 1806.35
RUN #: 161, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 802, EFPA: -9.34, SIGMA: 0.12, APO : 1523.34
RUN #: 162, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 118, EFPA: -9.18, SIGMA: -1.13, APO : 2497.61
RUN #: 163, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 131, EFPA: -9.29, SIGMA: -1.71, APO : 2215.78
RUN #: 164, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 17, EFPA: -9.17, SIGMA: -0.91, APO : 2215.50
RUN #: 165, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 135, EFPA: -9.31, SIGMA: 2.00, APO : 2097.05
RUN #: 166, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 226, EFPA: -9.27, SIGMA: 0.86, APO : 1736.63
RUN #: 167, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 709, EFPA: -9.27, SIGMA: 0.31, APO : 1964.15
RUN #: 168, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 790, EFPA: -9.28, SIGMA: 0.17, APO : 1909.18
RUN #: 169, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 260, EFPA: -9.35, SIGMA: -0.99, APO : 2098.59
RUN #: 170, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 397, EFPA: -9.12, SIGMA: -0.38, APO : 2083.33
RUN #: 171, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 853, EFPA: -9.25, SIGMA: -1.00, APO : 1935.79
RUN #: 172, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 772, EFPA: -9.23, SIGMA: -0.67, APO : 2211.06
RUN #: 173, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 559, EFPA: -9.16, SIGMA: -1.36, APO : 2130.43
