# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
 725.0 7.0049E+17 5.6739E+17 1.3309E+17 4.8056E+10 2.7872E-09  2.5189E-03  260.45 1.0000
 730.0 6.5540E+17 5.3087E+17 1.2453E+17 3.0046E+10 2.6078E-09  2.3742E-03  262.38 1.0000
 735.0 6.1326E+17 4.9674E+17 1.1652E+17 1.8669E+10 2.4402E-09  2.2380E-03  264.32 1.0000
 740.0 5.7388E+17 4.6484E+17 1.0904E+17 1.1531E+10 2.2835E-09  2.1096E-03  266.25 1.0000
 745.0 5.3736E+17 4.3526E+17 1.0210E+17 7.0866E+09 2.1381E-09  1.9897E-03  268.19 1.0000
 750.0 5.0578E+17 4.0968E+17 9.6099E+16 4.3549E+09 2.0125E-09  1.8867E-03  270.19 1.0000
 755.0 4.7610E+17 3.8564E+17 9.0459E+16 2.6634E+09 1.8944E-09  1.7891E-03  272.18 1.0000
 760.0 4.4819E+17 3.6304E+17 8.5157E+16 1.6219E+09 1.7834E-09  1.6966E-03  274.17 1.0000
 765.0 4.2196E+17 3.4178E+17 8.0171E+16 9.8375E+08 1.6790E-09  1.6089E-03  276.16 1.0000
 770.0 3.9728E+17 3.2180E+17 7.5484E+16 5.9463E+08 1.5808E-09  1.5257E-03  278.15 1.0000
 775.0 3.7408E+17 3.0301E+17 7.1075E+16 3.5836E+08 1.4885E-09  1.4469E-03  280.14 1.0000
 780.0 3.5226E+17 2.8533E+17 6.6930E+16 2.1543E+08 1.4016E-09  1.3721E-03  282.13 1.0000
 785.0 3.3174E+17 2.6871E+17 6.3030E+16 1.2925E+08 1.3200E-09  1.3013E-03  284.12 1.0000
 790.0 3.1243E+17 2.5307E+17 5.9362E+16 7.7425E+07 1.2432E-09  1.2342E-03  286.11 1.0000
 795.0 2.9427E+17 2.3836E+17 5.5912E+16 4.6337E+07 1.1709E-09  1.1705E-03  288.10 1.0000
 800.0 2.7719E+17 2.2452E+17 5.2665E+16 2.7719E+07 1.1029E-09  1.1101E-03  290.08 1.0000
 805.0 2.6111E+17 2.1150E+17 4.9611E+16 1.6582E+07 1.0390E-09  1.0529E-03  292.07 1.0000
 810.0 2.4602E+17 1.9928E+17 4.6744E+16 9.9276E+06 9.7891E-10  9.9877E-04  294.04 1.0000
 815.0 2.3303E+17 1.8875E+17 4.4275E+16 5.9811E+06 9.2720E-10  9.5142E-04  295.72 1.0000
 820.0 2.2073E+17 1.7879E+17 4.1939E+16 3.6093E+06 8.7828E-10  9.0634E-04  297.40 1.0000
 825.0 2.0909E+17 1.6937E+17 3.9728E+16 2.1827E+06 8.3198E-10  8.6341E-04  299.09 1.0000
 830.0 1.9808E+17 1.6045E+17 3.7635E+16 1.3234E+06 7.8816E-10  8.2253E-04  300.76 1.0000
 835.0 1.8766E+17 1.5200E+17 3.5655E+16 8.0492E+05 7.4669E-10  7.8360E-04  302.44 1.0000
 840.0 1.7779E+17 1.4401E+17 3.3781E+16 4.9132E+05 7.0744E-10  7.4653E-04  304.12 1.0000
 845.0 1.6846E+17 1.3645E+17 3.2007E+16 3.0112E+05 6.7029E-10  7.1123E-04  305.80 1.0000
 850.0 1.5962E+17 1.2929E+17 3.0327E+16 1.8538E+05 6.3512E-10  6.7760E-04  307.48 1.0000
 855.0 1.5125E+17 1.2251E+17 2.8738E+16 1.1469E+05 6.0182E-10  6.4558E-04  309.15 1.0000
 860.0 1.4333E+17 1.1610E+17 2.7232E+16 7.1332E+04 5.7030E-10  6.1509E-04  310.83 1.0000
 865.0 1.3583E+17 1.1002E+17 2.5807E+16 4.4619E+04 5.4046E-10  5.8604E-04  312.50 1.0000
 870.0 1.2873E+17 1.0427E+17 2.4458E+16 2.8079E+04 5.1220E-10  5.5838E-04  314.18 1.0000
 875.0 1.2200E+17 9.8823E+16 2.3181E+16 1.7784E+04 4.8545E-10  5.3203E-04  315.85 1.0000
 880.0 1.1564E+17 9.3666E+16 2.1971E+16 1.1339E+04 4.6012E-10  5.0694E-04  317.52 1.0000
 885.0 1.0988E+17 8.9006E+16 2.0878E+16 7.2986E+03 4.3723E-10  4.8471E-04  319.49 1.0000
 890.0 1.0453E+17 8.4669E+16 1.9861E+16 4.7369E+03 4.1592E-10  4.6410E-04  321.58 1.0000
